Date,Real Home Price Index,Real Building Cost Index,U.S. Population Millions,Long Rate,Long Rate Source,Nominal Home Price Index From_fig2.1Revised2011.xls,HPI Source,Nominal Building Cost Index,Build Cost Source,Consumer Price Index,CPI Annual & Quarterly,CPI Annual
1890,100.0,51.36,63.056,3.42,Homer,3.66,Grebler,,Grebler,7.61,Warren&Pearson,7.61
1891,88.01,47.27,64.361,3.62,Homer,3.3,Grebler,,Grebler,7.8,Warren&Pearson,7.8
1892,95.42,52.05,65.666,3.6,Homer,3.36,Grebler,,Grebler,7.33,Warren&Pearson,7.33
1893,92.3,44.67,66.97,3.75,Homer,3.5,Grebler,,Grebler,7.9,Warren&Pearson,7.9
1894,123.98,57.26,68.275,3.7,Homer,4.08,Grebler,,Grebler,6.85,Warren&Pearson,6.85
1895,117.46,61.47,69.58,3.46,Homer,3.7,Grebler,,Grebler,6.57,Warren&Pearson,6.57
1896,100.3,60.07,70.885,3.6,Homer,3.21,Grebler,,Grebler,6.66,Warren&Pearson,6.66
1897,106.52,62.38,72.189,3.4,Homer,3.31,Grebler,,Grebler,6.47,Warren&Pearson,6.47
1898,110.18,61.44,73.494,3.35,Homer,3.53,Grebler,,Grebler,6.66,Warren&Pearson,6.66
1899,103.85,64.04,74.799,3.1,Homer,3.37,Grebler,,Grebler,6.76,Warren&Pearson,6.76
1900,101.57,49.42,76.094,3.15,Homer,3.85,Grebler,,Grebler,7.9,Warren&Pearson,7.9
1901,87.33,51.25,77.584,3.1,Homer,3.23,Grebler,,Grebler,7.71,Warren&Pearson,7.71
1902,100.47,50.52,79.163,3.18,Homer,3.81,Grebler,,Grebler,7.9,Warren&Pearson,7.9
1903,93.07,43.54,80.632,3.3,Homer,3.87,Grebler,,Grebler,8.66,Warren&Pearson,8.66
1904,101.85,47.09,82.166,3.4,Homer,4.05,Grebler,,Grebler,8.28,Warren&Pearson,8.28
1905,87.25,47.11,83.822,3.48,Homer,3.55,Grebler,,Grebler,8.47,Warren&Pearson,8.47
1906,103.53,51.77,85.45,3.43,Homer,4.21,Grebler,,Grebler,8.47,Warren&Pearson,8.47
1907,109.32,49.54,87.008,3.67,Homer,4.65,Grebler,,Grebler,8.85,Warren&Pearson,8.85
1908,100.82,50.13,88.71,3.87,Homer,4.19,Grebler,,Grebler,8.66,Warren&Pearson,8.66
